"binary","filename","configuration","rate","time"
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",11044842.05875856,0.009054000
"new","path/dirname-posix.js","n=100000 path=''",18820872.347433303,0.005313250
"new","path/dirname-posix.js","n=100000 path='/'",16908431.879901435,0.005914209
"new","path/dirname-posix.js","n=100000 path='/foo'",14563990.533406153,0.006866250
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",11980231.659343552,0.008347084
"new","path/dirname-posix.js","n=100000 path='foo'",15750201.799460556,0.006349125
"new","path/dirname-posix.js","n=100000 path='foo/bar'",14423943.05311891,0.006932917
"new","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10990118.45479374,0.009099083
"old","path/dirname-posix.js","n=100000 path=''",17984670.226792086,0.005560291
"old","path/dirname-posix.js","n=100000 path='/'",14504927.251262618,0.006894209
"old","path/dirname-posix.js","n=100000 path='/foo'",13839794.141366024,0.007225541
"old","path/dirname-posix.js","n=100000 path='/foo/bar'",11442901.86498703,0.008739042
"old","path/dirname-posix.js","n=100000 path='foo'",13143626.983866198,0.007608250
"old","path/dirname-posix.js","n=100000 path='foo/bar'",10909388.041150648,0.009166417
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10481539.754960468,0.009540583
"new","path/dirname-posix.js","n=100000 path=''",16772073.558289329,0.005962292
"new","path/dirname-posix.js","n=100000 path='/'",16091831.577097654,0.006214333
"new","path/dirname-posix.js","n=100000 path='/foo'",13701289.688697107,0.007298583
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",11865094.35182354,0.008428083
"new","path/dirname-posix.js","n=100000 path='foo'",13516024.93706601,0.007398625
"new","path/dirname-posix.js","n=100000 path='foo/bar'",12379684.937018353,0.008077750
"new","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10365245.332400462,0.009647625
"old","path/dirname-posix.js","n=100000 path=''",18056652.74799684,0.005538125
"old","path/dirname-posix.js","n=100000 path='/'",15898251.19236884,0.006290000
"old","path/dirname-posix.js","n=100000 path='/foo'",14464104.215606567,0.006913667
"old","path/dirname-posix.js","n=100000 path='/foo/bar'",12271757.580755528,0.008148792
"old","path/dirname-posix.js","n=100000 path='foo'",15929908.403026683,0.006277500
"old","path/dirname-posix.js","n=100000 path='foo/bar'",14353551.219283938,0.006966917
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",11120120.880162016,0.008992708
"new","path/dirname-posix.js","n=100000 path=''",18565072.155937698,0.005386459
"new","path/dirname-posix.js","n=100000 path='/'",16993675.97342325,0.005884542
"new","path/dirname-posix.js","n=100000 path='/foo'",14549157.967482632,0.006873250
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",11573739.185787449,0.008640250
"new","path/dirname-posix.js","n=100000 path='foo'",15365998.885965081,0.006507875
"new","path/dirname-posix.js","n=100000 path='foo/bar'",13813902.421908628,0.007239084
"new","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10420420.188855527,0.009596542
"old","path/dirname-posix.js","n=100000 path=''",18762898.319913797,0.005329667
"old","path/dirname-posix.js","n=100000 path='/'",17036259.805006377,0.005869833
"old","path/dirname-posix.js","n=100000 path='/foo'",14608224.225723943,0.006845459
"old","path/dirname-posix.js","n=100000 path='/foo/bar'",12151899.718634915,0.008229166
"old","path/dirname-posix.js","n=100000 path='foo'",15724197.574542524,0.006359625
"old","path/dirname-posix.js","n=100000 path='foo/bar'",14398416.86526883,0.006945208
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",11123675.921045927,0.008989834
"new","path/dirname-posix.js","n=100000 path=''",18626167.41832565,0.005368791
"new","path/dirname-posix.js","n=100000 path='/'",15927371.187385522,0.006278500
"new","path/dirname-posix.js","n=100000 path='/foo'",14426111.261383103,0.006931875
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",12213553.991542114,0.008187625
"new","path/dirname-posix.js","n=100000 path='foo'",15144727.55998145,0.006602958
"new","path/dirname-posix.js","n=100000 path='foo/bar'",14324166.487495217,0.006981209
"new","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",11112139.601365326,0.008999167
"old","path/dirname-posix.js","n=100000 path=''",18381227.766756188,0.005440333
"old","path/dirname-posix.js","n=100000 path='/'",17010659.049066737,0.005878667
"old","path/dirname-posix.js","n=100000 path='/foo'",14389609.320667984,0.006949459
"old","path/dirname-posix.js","n=100000 path='/foo/bar'",12139973.899056118,0.008237250
"old","path/dirname-posix.js","n=100000 path='foo'",15903517.810429115,0.006287917
"old","path/dirname-posix.js","n=100000 path='foo/bar'",14348147.173536966,0.006969541
"old","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10992634.934593823,0.009097000
"new","path/dirname-posix.js","n=100000 path=''",18487418.5721649,0.005409084
"new","path/dirname-posix.js","n=100000 path='/'",17074680.383326575,0.005856625
"new","path/dirname-posix.js","n=100000 path='/foo'",14668402.427620603,0.006817375
"new","path/dirname-posix.js","n=100000 path='/foo/bar'",12222385.323164145,0.008181709
"new","path/dirname-posix.js","n=100000 path='foo'",15798412.259567913,0.006329750
"new","path/dirname-posix.js","n=100000 path='foo/bar'",14435742.899418961,0.006927250
"new","path/dirname-posix.js","n=100000 path='/foo/bar/baz/asdf/quux'",10578092.769873591,0.009453500
